[11:28:28] INFO > [FTP] _olga_reva_)))): Teleported to admin [QUE] FleepRust | Санька
[11:29:21] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:29:25] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199216969536
[11:29:31] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:29:35] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199035678895
[11:29:54] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:29:57] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199125227656
[11:30:19] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:30:23] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561198290103654
[11:30:36] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:30:41] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199031362873
[11:31:26] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:31:30] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199186412526
[11:31:35] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:31:38] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199209758763
[11:32:37] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:32:47] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199053901893
[11:46:15] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:46:18] INFO > [FTP] _olga_reva_)))): Teleported to admin [QUE] FleepRust | Санька
[11:51:18] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:51:21] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199192539906
